Term	es	nes	pval	sidak	fdr	geneset_size	leading_edge
GOCC_CHROMOSOMAL_REGION	0.4638700082205451	6.783447853613562	1.1734116017436089e-11	1.723397280439798e-07	1.7233896194808383e-07	289	DCLRE1B,CCNB1,PRKDC,NDC80,MAD2L1,CENPW,CENPN,MCM3,BUB1,AURKB,PIF1,RPA4,RAD51AP1,RECQL4,RCC2,PPP1CB,SPAG5,BIRC5,CHEK1,DSCC1,NUP85,CFDP1,RAD51,PINX1,MCM4,SMC1B,CENPA,PCNA,NCAPD2,STAG3,DSN1,CEBPB,NUF2,MCM6,TERC,CDCA8,SPC24,SKA3,ZWILCH,PML,DNMT1,ACD,CENPE,HDAC2,TERT,SUV39H2,MCM7,HSF1,MCM2,KDM1A,MCM5,MTBP,CENPV,KDM4D,THOC5,SMC4,CENPI,PHF6,BRCA2,RPA1,OIP5,EZH2,CDT1,NUP160,TTK,TERF2,DPY30,CENPO,CENPT,GAR1,FEN1,ERCC6L,SEC13,NCAPD3,RANGAP1,KIF18A,CDK1,CENPM,SSB,PLK1,RNF8,MTA2,SUMO3,SUV39H1,BLM,MSH2,SMC6,HJURP,ZW10,DNA2,SKA1,KIF2C,CDCA5,INCENP,CENPL,POLD1,CENPF,NCAPG,HELLS,XRCC6,CHMP1A,BUB1B,WRNIP1,CHEK2,SNAI1,SEH1L,DNMT3A
GOBP_CHROMOSOME_SEGREGATION	0.4464058989345123	6.358188775669427	2.0414649662067793e-10	2.9982948204221316e-06	1.4991497979339484e-06	283	CCNB1,DLGAP5,ACTR2,ESCO2,NDC80,MAD2L1,CDC20,CENPW,CENPN,RCC1,DYNC1H1,BUB1,AURKB,RCC2,KIF18B,SPAG5,DSCC1,RAD21,CSNK2A2,KIF4B,CCNE1,NAA10,PLSCR1,PINX1,PTTG1,SLC25A5,RPS3,SMC1B,TOP2A,NCAPD2,MSH5,KIF14,STAG3,DSN1,NUF2,CDCA8,SPC24,KATNB1,SKA3,SRPK1,EHMT2,ZWILCH,KIF25,CENPE,DDX11,RACGAP1,SPC25,CDC6,BAZ1B,FAM83D,HORMAD1,RAN,SMC4,KIF23,ACTR3,FBXO5,BRIP1,OIP5,CHFR,MKI67,SIRT7,CDT1,CDCA2,TTL,TTK,CHMP4C,ESPL1,PSMG2,CENPT,NAA50,TACC3,GEN1,FEN1,TRIP13,NCAPD3,KIF18A,MAD2L2,KIFC1,PLK1,NUP62,RIOK3,FANCD2,ANKRD53,NCAPH2,EML4,SMC6,HJURP,ZW10,NUP37,CCNE2,UBE2C,VPS4A,TEX15,KNTC1,SKA1,EME1,KIF2C,PRC1,TOP3B,CDCA5,INCENP,PTTG2,TEX11,CENPF,BANF1,HFM1,PTTG3P,PSRC1,NCAPG,NCAPG2,NEK2,CEP55,KIF4A,CCNB1IP1,ECT2,CHMP1A,BUB1B,NCAPH,NUSAP1,SFPQ,SEH1L,SYCE1L
GOBP_SISTER_CHROMATID_SEGREGATION	0.47303843006463075	6.057528472384004	1.3822888096937954e-09	2.0301470114003628e-05	6.7672252493242575e-06	178	CDCA8,EML4,CCNB1,KATNB1,ZW10,ZWILCH,UBE2C,DLGAP5,VPS4A,CENPE,DDX11,NAA50,NDC80,MAD2L1,KIF2C,TACC3,PRC1,CDCA5,CDC6,CDC20,GEN1,CENPF,FEN1,TRIP13,NCAPD3,BUB1,PTTG3P,AURKB,KIF18A,PSRC1,NCAPG,MAD2L2,NCAPG2,KIF18B,HORMAD1,KIFC1,SPAG5,RAN,SMC4,DSCC1,PLK1,KIF23,CEP55,KIF4A,KIF4B,NAA10,PINX1,NUP62,PTTG1,FBXO5,CHFR,CHMP1A,BUB1B,NCAPH,SMC1B,CDT1,NCAPH2,NUSAP1,SFPQ,NCAPD2,SEH1L,KIF14,TTK,DSN1,NUF2
GOCC_CHROMOSOME_CENTROMERIC_REGION	0.4665863274232026	5.927426233063416	3.077195068972341e-09	4.519374256439779e-05	1.1298690994499191e-05	177	CDCA8,SMC6,SPC24,HJURP,CCNB1,DYNC1LI2,ZW10,SKA3,ZWILCH,CKAP5,DNMT1,CENPO,CENPT,CENPE,SKA1,NDC80,MAD2L1,KIF2C,CDCA5,INCENP,CENPL,CENPW,CENPN,CENPF,SUV39H2,HSF1,ERCC6L,SEC13,BUB1,NCAPD3,AURKB,RANGAP1,KIF18A,NCAPG,HELLS,NEK2,RCC2,MTBP,CENPV,KDM4D,CENPM,SPAG5,BIRC5,SMC4,DSCC1,NUP85,CFDP1,CENPI,PLK1,SYCP2L,PHF6,PINX1,SUMO3,OIP5,SUV39H1,CHMP1A,BUB1B,SMC1B,EZH2,CDT1,TOP2A,CENPA,NUP160,SNAI1,NCAPD2,STAG3,SEH1L,TTK,DSN1,CEBPB,DNMT3A,NUF2
GOBP_NUCLEAR_CHROMOSOME_SEGREGATION	0.4447258475304143	5.8596511558540305	4.6384051387559156e-09	6.81219355226359e-05	1.1851511419876578e-05	231	CCNB1,DLGAP5,ACTR2,NDC80,MAD2L1,CDC20,BUB1,AURKB,RCC2,KIF18B,SPAG5,DSCC1,RAD21,KIF4B,CCNE1,NAA10,PINX1,PTTG1,SMC1B,TOP2A,NCAPD2,MSH5,KIF14,STAG3,DSN1,NUF2,CDCA8,SPC24,KATNB1,EHMT2,ZWILCH,KIF25,CENPE,DDX11,RACGAP1,SPC25,CDC6,BAZ1B,FAM83D,HORMAD1,RAN,SMC4,KIF23,ACTR3,FBXO5,BRIP1,CHFR,SIRT7,CDT1,TTL,TTK,CHMP4C,ESPL1,PSMG2,NAA50,TACC3,GEN1,FEN1,TRIP13,NCAPD3,KIF18A,MAD2L2,KIFC1,PLK1,NUP62,FANCD2,ANKRD53,NCAPH2,EML4,ZW10,CCNE2,UBE2C,VPS4A,TEX15,EME1,KIF2C,PRC1,CDCA5,INCENP,PTTG2,TEX11,CENPF,HFM1,PTTG3P,PSRC1,NCAPG,NCAPG2,NEK2,CEP55,KIF4A,CCNB1IP1,ECT2,CHMP1A,BUB1B,NCAPH,NUSAP1,SFPQ,SEH1L,SYCE1L
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	0.36955975780728295	5.852525739020059	4.841633316488014e-09	7.110654050146437e-05	1.1851511419876578e-05	362	USP39,PAK1IP1,MPHOSPH10,PRKDC,WDR3,PWP2,RPS7,RPS16,HSP90AB1,WDR46,UTP14A,PES1,DDX27,SNRPD2,NOL10,NIP7,MYBBP1A,RPS17,ESF1,RPSA,RPP25,EBNA1BP2,WDR43,DDX47,TGS1,PINX1,BMS1,EXOSC4,CHD7,DDX18,SURF6,ISY1,CLP1,PRPF3,EXOSC5,RPS25,RPL35A,SRPK1,MRPL1,PRPF8,ERI1,IMP4,DDX49,GTPBP4,DDX10,WDR74,NOP2,HSP90AA1,LYAR,RAN,NOL11,GNL2,MPHOSPH6,RCL1,RIOK1,HEATR3,SIRT7,RPL24,PTBP2,RUVBL1,WDR75,BOP1,WDR12,NUDT21,RRP1,RPS27,RPS19,LSM2,SNRPC,NOP56,POLR2D,NUP88,RPL5,GAR1,RRP7A,SNRPB,MRPL36,MRTO4,FBL,GEMIN4,PSIP1,NPM3,SF3A3,CELF2,METTL5,URB1,PUF60,NOB1,EIF2S2,LSG1,SRPK3,NOP10,HEATR1,LSM6,SART1,PDCD11,NSUN5P1,RPP40,RPS8,ERI3,RIOK3,POP7,NOP58,NOL9,SNRPG,DKC1,TRMT61B,MAK16,SUV39H1,ISG20,DCAF13,XPO1,RRP1B,NOP16,SNRPD1,SNRPF,PRPF18,NOLC1,PPAN,RPL38,RPUSD3,RPUSD4,CELF4,TSR1,UTP6,EXOSC8,BYSL,RPL7L1,EMG1,BRIX1,POP4,DDX21,MDN1,C1QBP,NAT10,RPS21,SF1,URB2,LTV1,RPP38,EXOSC6,SNRPD3,RPF2,DDX28,ABCE1,ABT1
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	0.48509566288936434	5.789080123850994	7.0772938620677905e-09	0.0001039388133072805	1.484917356459852e-05	153	CDCA8,EML4,CCNB1,KATNB1,ZW10,ZWILCH,UBE2C,DLGAP5,VPS4A,CENPE,NAA50,NDC80,MAD2L1,KIF2C,TACC3,PRC1,CDCA5,CDC6,CDC20,GEN1,CENPF,TRIP13,NCAPD3,BUB1,PTTG3P,AURKB,KIF18A,PSRC1,NCAPG,MAD2L2,NCAPG2,KIF18B,KIFC1,RAN,SMC4,DSCC1,PLK1,KIF23,CEP55,KIF4A,KIF4B,NAA10,PINX1,NUP62,PTTG1,FBXO5,CHMP1A,BUB1B,NCAPH,SMC1B,CDT1,NCAPH2,NUSAP1,NCAPD2,SEH1L,KIF14,TTK,DSN1,NUF2
GOBP_ADAPTIVE_IMMUNE_RESPONSE	0.3648568108461879	5.622560868856823	1.8814724001003924e-08	0.0002762936778720748	3.454148142534308e-05	391	HLA-DQA1,ITK,CTSS,TNFRSF11A,RELB,CD19,JAK3,CSF2RB,MYD88,IL23A,ANXA1,XCL1,SAMSN1,EPHB2,TRAF2,FCGR1A,HLA-H,C3,MALT1,C1QB,CCR2,C1QC,BTN3A1,PIK3CD,CLEC7A,CD28,TNFRSF13C,LILRB2,CD6,MYO1G,CD4,RAB27A,CTSC,FYN,LILRA3,IFNG,CLEC4A,AICDA,UNC13D,TNFRSF17,SOCS5,HSPD1,HLA-B,PDCD1,SH2D1A,RAP1GAP2,ADCY7,BACH2,BTNL8,PHB,EXO1,CD70,CD40,EOMES,TFEB,PTPRC,FCER1G,LILRB5,SLAMF6,NOTCH1,IL20RB,SLC11A1,CARD9,SLAMF1,FOXP3,NCKAP1L,FCAMR,CD274,TNFRSF1B,HLA-F,SIT1,IL1B,HMGB1,HLA-A,IL21R,IL4I1,UNG,CD27,TREM1,CLEC4D,PRKCQ,TRAT1,CTSH,C17orf99,SASH3,IFNE,AGER,NFKBID,TNFSF13B,LAMP3,CD209,CSK,IL7R,LAT,HLA-E,FCGR1B,ICOSLG,LILRA6,PVR,IL10,PDCD1LG2,RSAD2,KLRC1,C1QA,TAP1,LILRB4,CLEC4C,RIF1,KLRD1,ADAM17,UNC93B1,LAX1,RNF19B,PAG1,IFNB1,LTA,PRKCB,CD7,CR2,IL18R1,IL27,C2,CXCL13,PRDM1,FCGR2B,GPR183,LIME1,HLX,IRF4,LAT2,MAD2L2,CD79B,TLR8,LILRB3,HLA-G,RNF8,ATAD5,TAP2,SLC15A4,IL12RB1,CD48,CD244,LY9,MAP3K7,CR1L,IL27RA,ICAM1,TNF,SLA2,HLA-DQB1,MSH6,LAIR1,CLEC4G,TFRC,CR1,TNFRSF21,MSH2,RNF168,VTCN1,MCOLN2,SLAMF7,RIPK2,NOD2,CRP,IL18,TRIM27,LAG3,SIGLEC10,LYN,CD86,IL6,CD80,IL12B,ADA,BTLA,C8G,NFKB2,PRR7,ZAP70,HLA-DRB1,HPRT1,CD1A,IL17RA,CTLA4,TEC,FCGR3A,C1QBP,TNFAIP3,ARG1,C1R,HLA-DOB,TBX21,IL12A,TRAF3IP2,PLA2G4A,FUT7,WAS,C4BPA,DCLRE1C,EXOSC6,CLEC6A,BTN3A2,PRF1,DUSP22,CD79A,APLF,LILRB1,ORAI1,CRTAM,IL18BP
HP_ABNORMAL_ANATOMIC_LOCATION_OF_THE_HEART	-0.5720412664624382	-5.475074012779267	4.373287820769178e-08	0.0006420985627129117	7.136719802626324e-05	93	UBR1,CRELD1,TCTN1,EVC,CCNO,MEGF8,LRRC56,STK36,DNAH5,MMP21,DYNC2LI1,CEP290,BCOR,ACVR2B,CCDC65,ARMC9,B9D1,NEK10,DNAI1,ZNF423,LZTFL1,DNAL1,RSPH4A,TTC8,RPGRIP1,TCTN2,TMEM67,DNAH9,SPEF2,GLI1,CCDC39,RPGR,FOXJ1,SLC19A2,RSPH3,TTC12,ZMYND10,SPAG1,TCTN3,TXNDC15,TP63,CCDC40,CSPP1,ARL3,DNAH1,NEK8,B9D2,GAS2L2,CCDC103,RSPH1,KIAA0586,CEP120
GOBP_RIBOSOME_BIOGENESIS	0.41049552714511206	5.435069654961346	5.477503028927799e-08	0.0008041573838964977	8.044808698586259e-05	264	ABT1,PAK1IP1,MPHOSPH10,PRKDC,WDR3,PWP2,RPS7,RPS16,PES1,UTP14A,DDX27,NOL10,NIP7,MYBBP1A,RPS17,ESF1,RPSA,RPP25,EBNA1BP2,WDR43,DDX47,PINX1,BMS1,EXOSC4,CHD7,DDX18,SURF6,EXOSC5,RPS25,RPL35A,MRPL1,ERI1,IMP4,DDX49,GTPBP4,DDX10,WDR74,NOP2,LYAR,RAN,GNL2,NOL11,MPHOSPH6,RCL1,RIOK1,HEATR3,SIRT7,RPL24,WDR75,BOP1,WDR12,RRP1,RPS27,RPS19,NOP56,NUP88,RPL5,GAR1,RRP7A,MRPL36,MRTO4,FBL,GEMIN4,NPM3,METTL5,URB1,NOB1,NOP10,LSG1,HEATR1,LSM6,SART1,PDCD11,NSUN5P1,RPP40,RPS8,ERI3,POP7,RIOK3,NOP58,MAK16,NOL9,ISG20,SUV39H1,DKC1,TRMT61B,DCAF13,XPO1,NOP16,RRP1B,NOLC1,PPAN,RPL38,RPUSD3,RPUSD4,TSR1,UTP6,EXOSC8,BYSL,RPL7L1,EMG1,BRIX1,POP4,DDX21,MDN1,C1QBP,NAT10,RPS21,URB2,LTV1,RPP38,EXOSC6,RPF2,DDX28,ABCE1,WDR46
