Term	es	nes	pval	sidak	fdr	geneset_size	leading_edge
GOBP_ADAPTIVE_IMMUNE_RESPONSE	0.48184898229855605	9.399833320373592	5.4649574718948634e-21	0.0	8.032394492191069e-17	391	HLA-DQB1,NLRP10,NOTCH1,LAIR1,LILRB3,LILRB4,CD209,GPR183,CRP,CD86,HLA-DPB1,BTN3A2,XCL1,CD6,TNFRSF11A,CD1B,CD274,HMGB1,SERPING1,C1R,CRTAM,IFNE,HLA-DRB5,VTCN1,C8G,HLA-H,PRF1,PRKCB,EXOSC6,CLEC4C,HLA-DMA,HLA-DRB1,KLRC2,CD40,FOXP3,MALT1,LAX1,HLA-G,FCER2,RAB27A,PTPRC,IL27RA,ADAM17,HLA-A,CD19,CSK,HLA-DRA,C1QBP,CD79A,TNFAIP3,BTNL8,LILRB1,CD70,SAMSN1,LILRA3,SH2D1A,LIME1,SLC11A1,LYN,CCL19,KLRK1,IL12RB1,HPRT1,HLA-DOA,FCAMR,HLA-DQA1,IL7R,LILRB5,EXO1,CR1L,CSF2RB,CTSC,IL18,GZMM,CLEC4D,FUT7,IL12A,LTA,THOC1,CD48,FZD5,C1RL,IFNB1,C3,BTN3A1,PIK3CD,ADA,TNF,ZAP70,LAMP3,SLAMF1,SLAMF6,ICAM1,BTN3A3,KLHL6,SPN,CD40LG,RNF19B,PIK3CG,HLA-B,CEACAM1,EPHB2,IL6,SIPA1,HLA-DMB,CD1E,IRF4,CD80,ICOSLG,IL27,HLA-C,IL2,HLA-DOB,HSPD1,IL10,CD8A,CD244,TFEB,NCKAP1L,RIPK2,TRIM27,LAT,TBX21,C1QC,SOCS5,CD7,LILRB2,TRAF3IP2,GNL1,TREM1,CD226,TRAT1,MCOLN2,TNFRSF17,KLRD1,FCGR3A,ARG1,FCER1G,SLC15A4,JAK3,FCGR2B,AICDA,ORAI1,CXCL13,CR1,PAG1,SYK,SIT1,C1S,ITK,CTLA4,PDCD1LG2,CD1A,PRKCQ,NLRP3,IL1B,RFTN1,LAG3,HAVCR2,FCGR1A,MSH2,FYN,WAS,MYD88,BTLA,B2M,RNF8,DUSP22,IL21R,ZNF683,CD74,PDCD1,C2,IL18R1,EBI3,BTK,CARD9,KLRC1,IL20RB,MAP3K7,PVR,CLEC6A,SIGLEC10,IL12B,SASH3,SEMA4A,LY9,SH2D1B,CD28,CD27,HLX,THEMIS,APLF,HLA-F,HLA-DQA2,CLEC4A,PRDM1,LAT2,MSH6,ADCY7,CLEC10A,SLA2,IFNG,NFKBID,TXK,PRR7,ATAD5,ANXA1,CD4,HLA-DPA1,INPP5D,EOMES,CR2,CLEC7A,BACH2,CD1D,C4BPA,CD1C,CTSS,IL23A,TLR8,TNFRSF1B,TNFRSF21,SLAMF7,CCR2,MYO1G,IL18BP,DCLRE1C,TAP1,C17orf99,CD79B,LILRA6,TNFSF13B,RELB,UNC13D,NFKB2,HLA-E,C1QB,TAP2,TEC,MAD2L2,IL4I1,ARG2,PLA2G4A,IRF1,TNFRSF13C,FCGR1B,C1QA
GOBP_LEUKOCYTE_MEDIATED_IMMUNITY	0.4310453680409665	8.153219003081384	3.5436304369570467e-16	4.895417404782165e-12	2.6042140081197335e-12	350	HLA-DQB1,LILRB4,CRP,GZMB,LGALS9,HLA-DPB1,BTN3A2,XCL1,SCNN1B,SERPINB4,CD1B,CD300A,KIT,DHX36,HMGB1,ULBP3,SERPING1,CCL3,C1R,STAP1,NOS2,PRAM1,CRTAM,BLK,HLA-DRB5,C8G,HLA-H,PRF1,EXOSC6,HLA-DMA,HLA-DRB1,KLRC2,CD40,FOXP3,VAV1,MALT1,ARRB2,PLEKHM2,HLA-G,FCER2,RAB27A,PLCG2,PTPRC,IL27RA,HLA-A,ADAM17,CLNK,CD19,HLA-DRA,C1QBP,KLRC4,LILRB1,CD70,PTGDS,SH2D1A,RAC2,LYN,IL12RB1,HPRT1,KLRK1,ITGAM,HLA-DQA1,HLA-DOA,IL7R,CEBPG,EXO1,CR1L,CSF2RB,KIR3DL1,CTSC,IL18,GZMM,FGR,FUT7,IL12A,LTA,THOC1,FZD5,C1RL,IFNB1,PRDX1,C3,PIK3R6,PIK3CD,TNF,SLAMF1,SLAMF6,ITGB2,NCR1,ICAM1,BTN3A3,CD40LG,RNF19B,PIK3CG,HLA-B,CEACAM1,ADORA2B,IL6,HLA-DMB,CD1E,C12orf4,BCR,NR4A3,NKG7,IL2,HLA-DOB,HSPD1,IL10,CD8A,NCKAP1L,LAT,TBX21,C1QC,TRAF3IP2,PTGDR,TREM1,GNL1,CD226,KLRD1,FCGR3A,ARG1,FCER1G,IL13,SLC15A4,FES,CXCL6,KLRC3,JAK3,FCGR2B,AICDA,RAET1G,SERPINB9,CR1,SYK,C1S,CD1A,SPI1,NLRP3,DDX21,IL1B,RFTN1,LAG3,HAVCR2,FCGR1A,MSH2,WAS,MYD88,B2M,RNF8,DUSP22,IL21R,CD74,ANXA3,C2,IL18R1,BTK,CARD9,KLRC1,IL20RB,MAP3K7,PVR,IL12B,SASH3,SH2D1B,CD28,CD27,APLF,ULBP2,HLA-F,HLA-DQA2,LAT2,MSH6,SLA2,IL21,ATAD5,CD96,CORO1A,CBL,HLA-DPA1,INPP5D,TUBB,CR2,CLEC7A,CD1D,C4BPA,CD1C,SLAMF9,IL23A,TLR8,TYROBP,TNFRSF1B,SLAMF7,ULBP1,CCR2,MYO1G,NCR3,C17orf99,UNC13D,HLA-E,C1QB,MAD2L2,IL4I1,PTAFR,KIR2DL4,C1QA
GOBP_LEUKOCYTE_CELL_CELL_ADHESION	0.42984657124523606	7.952496534817234	1.8278994663160394e-15	2.610889282550488e-11	8.955488785304383e-12	344	HLA-DQB1,NCK1,CD47,LGALS1,LILRB4,CD209,CD86,HHLA2,PTPN2,HLA-DPB1,LGALS9,SEMA4D,CCDC88B,XCL1,CD6,MSN,CD300A,CD274,HMGB1,CRTAM,CD24,ITGB7,NCK2,HLA-DRB5,VTCN1,ETS1,HLA-DMA,HLA-DRB1,FOXP3,F11R,VAV1,IRAK1,CCL2,MALT1,LAX1,SELE,HLA-G,IRF1,SIRPA,PTPRC,IL27RA,HLA-A,FUT9,CLECL1,CSK,HLA-DRA,BTN2A2,LILRB1,CD70,CHST4,SRC,RAC2,IL12RB1,LYN,CCL19,CEBPB,KLRK1,PELI1,IL2RA,HLA-DOA,HLA-DQA1,CCL25,IL7R,SOCS1,TNFSF9,IL18,CBLB,FUT7,IL12A,CCR7,SCRIB,ITGB1,MDK,IFNB1,PPARA,ASS1,TNFAIP8L2,CHST2,LAPTM5,SOX4,ADA,TNF,ZAP70,SLAMF1,RPS3,EFNB2,ITGB2,ICAM1,PRNP,SIRPG,SPN,CD40LG,IL7,CEACAM1,GLMN,IL6,HLA-DMB,PLA2G2D,ADAM8,CD80,ICOSLG,NR4A3,PNP,IL2,ICOS,PTPN22,HLA-DOB,CCL5,HSPD1,IL10,SIRPB1,NCKAP1L,RIPK2,VSIG4,FCHO1,TBX21,SOCS5,LILRB2,ITGA4,VNN1,ARG1,CD3E,JAK3,FCGR2B,RUNX3,ST3GAL4,CR1,PAG1,SYK,EXT1,SELL,CTLA4,PDCD1LG2,PRKCQ,NLRP3,IL1B,LAG3,HAVCR2,FYN,CARD11,YES1,B2M,DUSP22,CD74,EBI3,IL20RB,MAP3K8,RASAL3,VCAM1,IL12B,SASH3,FUT4,SLC7A1,CD28,CD27,HLX,TIGIT,CASP3,HLA-DQA2,AIF1,IFNG,NFKBID,IL21,ANXA1,SELPLG,IDO1,CD4,CORO1A,IL1RL2,HLA-DPA1,FERMT3,CD1D,CD5,LCK,IL23A,TNFRSF21,IL15,TNFSF14,CCR2,ADD2,S100A9,TNFSF13B,S100A8,EFNB1,GPNMB,CD83,SLC39A8,HLA-E,RELA,TMIGD2,IL4I1,ARG2,IL1A,PTAFR,CBFB,TNFRSF13C
GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY	0.41230386697788307	7.78531337839705	6.954062168963537e-15	1.0280376550042547e-10	2.5552701439856516e-11	364	HLA-DQB1,BIRC3,CD47,FPR3,MOG,LILRB4,HHLA2,PTPN2,HLA-DPB1,LGALS9,BTN3A2,BAX,PVRIG,OASL,CD300A,KIT,LGR4,FPR2,CD14,LPXN,KCNN4,HMGB1,CD300LF,SMPDL3B,DGKZ,STAP1,LBP,PRAM1,NOD1,BLK,CD24,LTF,VTCN1,TNIP3,CD19,GBP1,CD8B,PRKCB,HLA-DRB1,SCARA3,KLRC2,CD40,FOXP3,VAV1,IRAK1,MALT1,ARRB2,LAX1,ALPK1,HLA-G,PLCG2,EIF2B3,GFI1,HLA-A,FCRL3,PTPRC,FCGR1B,TIFA,LIMK1,CSK,C1QBP,CD79A,TNFAIP3,BTN2A2,BTNL8,KLRC4,LILRB1,LCP2,SRC,SH2D1A,LIME1,LYN,KLRK1,PELI1,IFIH1,SOS1,MS4A1,FGR,CLEC4D,CBLB,BIRC2,TRAF3,CCR7,TLR10,TLR9,NPLOC4,LAPTM5,BTN3A1,PIK3CD,ADA,TNF,ZAP70,CD247,RPS3,CLPB,BANK1,NLRX1,BTN3A3,PRNP,KLHL6,CEACAM1,RIOK3,PLEKHA1,PLD2,PHB2,PIK3AP1,IRF4,BTN2A1,UBASH3A,ICOSLG,CD38,TREML4,NR4A3,FPR1,TNIP1,TSPAN6,NMI,CD200R1,PTPN22,HSPD1,CD8A,NCKAP1L,RIPK2,FCHO1,BTN1A1,LILRB2,CD226,TRAT1,STOML2,KLRD1,FCGR3A,FCER1G,SLC15A4,KLRC3,FCGR2B,CR1,CLEC4E,TRIM15,SYK,PLSCR1,ITK,CTLA4,LSM14A,PLCG1,RPS6KA3,PRKCQ,HAVCR2,TYRO3,FYN,IRAK2,CARD11,HCK,MYD88,BTLA,YES1,DUSP22,PLCL2,MNDA,DAB2IP,BTK,SLC15A2,KLRC1,IL20RB,MAP3K7,CLEC6A,MFHAS1,CD28,TLR2,CYBA,THEMIS,FCN1,LAT2,NFAM1,SPG21,SLA2,NFKBID,TXK,TICAM2,INPP5D,CR2,CLEC7A,PAK3,LCK,CTSS,LY96,TYROBP,TLR8,TNFRSF21,KIR2DL1,MYO1G,TLR1,NCR3,CD79B,TLR6,IRF3,RELA,TEC,PDE4B,SEC14L1,IRF1,SH2B2
GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION	0.42314852427282845	7.37523392929976	1.640567313670517e-13	2.4118089747560134e-09	4.822611675265852e-10	328	MMP8,CD320,HLA-DQB1,NCK1,CD47,TOX,LGALS1,LILRB4,CD209,GPR183,CD86,HHLA2,LGALS9,HLA-DPB1,CCDC88B,XCL1,BST1,CD6,CD274,HMGB1,CCL3,STAP1,LBP,CD24,NCK2,HLA-DRB5,VTCN1,EXOSC6,HLA-DMA,HLA-DRB1,KLRC2,CD40,FOXP3,VAV1,CCL2,MALT1,HLA-G,SIRPA,PTPRC,IL27RA,HLA-A,FCRL3,CLECL1,CSK,HLA-DRA,BTN2A2,LILRB1,CD70,IL15RA,SRC,IL12RB1,LYN,CCL19,KLRK1,ITGAM,PELI1,IL2RA,HLA-DQA1,IL7R,SOCS1,CTSC,IL18,TNFSF9,FGR,CLEC4D,IL12A,CCR7,MDK,TLR9,SOX4,ADA,TNF,ZAP70,SLAMF1,RPS3,EFNB2,PRKDC,ITGB2,SIRPG,CD40LG,IL7,EPHB2,ADORA2B,IL6,HLA-DMB,CD2,ADAM8,CD80,ICOSLG,CD38,NR4A3,PNP,IL2,ICOS,PTPN22,HLA-DOB,MPL,CCL5,IL10,SIRPB1,HSPD1,NCKAP1L,RIPK2,FCHO1,TBX21,LILRA5,SOCS5,LILRB2,CD226,VNN1,FCGR3A,IL13,CD3E,JAK3,RUNX3,CR1,SYK,PDCD1LG2,PRKCQ,NLRP3,IL1B,HAVCR2,FYN,MSH2,CARD11,RPS6KA1,MYD88,YES1,B2M,CD74,EBI3,BTK,MAP3K8,RASAL3,VCAM1,TSLP,IL12B,SASH3,SLC7A1,CD28,CD27,HLX,TNFRSF4,HLA-F,HLA-DQA2,AIF1,PLEK,IFNG,NFKBID,IL21,ATAD5,ANXA1,CD4,PPP2R3C,CORO1A,IL1RL2,HLA-DPA1,INPP5D,CLEC7A,XRCC6,CD1D,CD5,LCK,IL23A,TYROBP,IL15,TNFSF14,CCR2,SH3KBP1,TNFSF13B,TLR6,EFNB1,CD83,HLA-E,TACR1,TMIGD2,MAD2L2,IL4I1,IL1A,PLA2G4A,PTAFR,CBFB,TNFRSF13C
GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION	0.4120073275341001	7.302421365005634	2.8263449676484195e-13	4.154577570858464e-09	6.923603055749412e-10	417	CD320,HLA-DQB1,NCK1,CD47,TOX,LGALS1,LILRB4,CD209,GPR183,CD86,DCAF15,HHLA2,PTPN2,HLA-DPB1,LGALS9,CCDC88B,XCL1,BST1,CD6,CD300A,CD274,ZFP36L2,HMGB1,CRTAM,BLK,SFRP1,CD24,NCK2,HLA-DRB5,VTCN1,EXOSC6,HLA-DMA,HLA-DRB1,KLRC2,CD40,FOXP3,VAV1,CCL2,MALT1,LAX1,HLA-G,SIRPA,PTPRC,IL27RA,HLA-A,FCRL3,CLNK,CD19,CLECL1,CSK,HLA-DRA,TNFAIP3,BTN2A2,TCF7,LILRB1,CD70,IL15RA,SAMSN1,SRC,RAC2,IL12RB1,LYN,CCL19,CEBPB,KLRK1,PELI1,IL2RA,HLA-DOA,HLA-DQA1,IL7R,SOS1,SOCS1,TNFSF9,IL18,FGR,CBLB,IL12A,CCR7,THOC1,SCRIB,MDK,IFNB1,TLR9,SOX11,TNFAIP8L2,PIK3R6,LAPTM5,SOX4,ADA,ZAP70,SLAMF1,RPS3,EFNB2,BANK1,PRKDC,PRNP,SIRPG,SPN,CD40LG,IL7,CEACAM1,EPHB2,GLMN,IL6,HLA-DMB,PLA2G2D,CD2,ADAM8,IRF4,GAL,CD80,ICOSLG,CD38,IL27,PNP,IL2,FANCA,ICOS,PTPN22,HLA-DOB,MPL,CCL5,IL10,SIRPB1,HSPD1,NCKAP1L,RIPK2,LAT,VSIG4,FCHO1,TBX21,SOCS5,LILRB2,IKZF3,VNN1,FCGR3A,ARG1,MIR17HG,CD3E,IL13,JAK3,FCGR2B,RUNX3,CR1,PAG1,SYK,SIT1,TBC1D10C,CTLA4,PDCD1LG2,PRKCQ,NLRP3,IL1B,LAG3,HAVCR2,TYRO3,MSH2,FYN,CARD11,MYD88,YES1,B2M,DUSP22,MNDA,ZNF683,CD74,EBI3,BTK,LST1,IL20RB,MAP3K8,RASAL3,VCAM1,IL12B,SASH3,SLC7A1,CD28,CD27,HLX,TIGIT,APLF,CASP3,TNFRSF4,HLA-F,HLA-DQA2,FANCD2,CYP26B1,PRDM1,AIF1,NFAM1,IFNG,NFKBID,IL21,ATAD5,ANXA1,CD4,IDO1,LMO1,PPP2R3C,CORO1A,IL1RL2,HLA-DPA1,INPP5D,CLEC7A,XRCC6,CD1D,CD5,LCK,IL23A,TYROBP,TNFRSF1B,TNFRSF21,IL15,TNFSF14,CCR2,HMGB3,SH3KBP1,TNFSF13B,PRELID1,EFNB1,GPNMB,CD83,HLA-E,TACR1,SLAMF8,TMIGD2,MAD2L2,IL4I1,ARG2,IL1A,IRF1,CBFB,TNFRSF13C
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	0.41431365833795486	7.2747388869035	3.470911510916302e-13	5.101024935783016e-09	7.287922483921116e-10	428	MMP8,HMGB2,SERPINB7,GPRC5B,NLRP10,CD86,HHLA2,STAT1,HLA-DPB1,LGALS9,BTN3A2,CCDC88B,XCL1,CD58,IL12RB2,CD6,KIT,FERMT1,CD274,CD14,DHX36,HMGB1,TRPV4,CCL3,NOS2,LBP,CD200,MMP12,NOD1,CRTAM,VTCN1,SPHK1,LTB,ARHGEF2,GBP5,CD40,FOXP3,IRAK1,MALT1,GAPDH,IFI16,HLA-G,IRF1,ADCYAP1,PLCG2,PTPRC,IL27RA,HLA-A,ADAM17,MAPK14,CLNK,LILRB1,ATF4,SRC,IL12RB1,SLC11A1,CCL19,CEBPB,NODAL,PELI1,KLRK1,HIF1A,TNFRSF8,SAA1,CEBPG,IFIH1,ORM2,IL18,FGR,IL12A,LTA,CCR7,SCRIB,OSM,FZD5,MDK,TLR9,C3,LAPTM5,BTN3A1,PIK3CD,TNF,IL26,SLAMF1,RPS3,SLAMF6,CASP1,SPN,CD40LG,IL7,EPHB2,ADORA2B,RIOK3,GLMN,IL6,AIM2,CD2,ADAM8,IRF4,POLR3D,CD80,IL27,HPSE,NR4A3,POU2F2,PNP,WNT11,IL2,FRMD8,AKIRIN2,PTPN22,HSPD1,IL10,CD244,RIPK2,TRIM27,TBX21,LILRA5,IRF8,CHIA,LILRB2,SEMA7A,CD226,MCOLN2,STOML2,IL13,FCER1G,CD3E,RAET1G,CLEC4E,IL1RAP,TRIM15,SYK,IFNGR1,ITK,TRIM16,CLEC5A,CSF1R,PRKCQ,NLRP3,DDX21,IL1B,CSF2,HAVCR2,CARD11,MYD88,POLR3G,B2M,MNDA,MBP,CD74,PTGS2,IL18R1,EBI3,CARD9,MAP3K7,IL20RB,CLEC6A,TSLP,IL12B,SASH3,LY9,CX3CL1,CD28,CHI3L1,TIGIT,TLR2,CYBA,HLA-F,FCN1,RAB1A,AIF1,NFAM1,EREG,GPSM3,ROCK2,EIF2AK2,IFNG,HDAC2,NLRC4,IL21,TXK,GATA6,ANXA1,CD4,IDO1,SERPINF2,IL1RL2,HLA-DPA1,CLEC7A,PTGER4,POLR3C,LY96,IL23A,TLR8,TYROBP,APP,LPL,IL15,CCR2,SLC7A5,DDT,POU2AF1,TLR1,MEFV,TLR6,PYHIN1,IRF3,CD83,HLA-E,RELA,IRF5,PDE4B,TMIGD2,PANX1,CYBB,IL1A,PTAFR,KIR2DL4
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	0.4606895666961142	7.230227901325044	4.821841696414314e-13	7.086932596322981e-09	8.858928656737197e-10	269	HLA-DQB1,NLRP10,NOTCH1,LILRB4,CRP,HLA-DPB1,BTN3A2,XCL1,CD1B,CD274,HMGB1,SERPING1,C1R,CRTAM,HLA-DRB5,C8G,HLA-H,EXOSC6,PRF1,HLA-DMA,HLA-DRB1,CD40,FOXP3,MALT1,RAB27A,FCER2,ADAM17,PTPRC,IL27RA,HLA-G,HLA-A,CD19,HLA-DRA,C1QBP,TNFAIP3,LILRB1,CD70,IL12RB1,SLC11A1,HPRT1,CCL19,HLA-DQA1,HLA-DOA,IL7R,CR1L,EXO1,CSF2RB,CTSC,GZMM,IL18,FUT7,IL12A,LTA,THOC1,IFNB1,C1RL,FZD5,C3,ADA,TNF,SLAMF1,SLAMF6,ICAM1,KLHL6,BTN3A3,SPN,CD40LG,HLA-B,CEACAM1,EPHB2,IL6,HLA-DMB,CD1E,IRF4,CD80,IL27,IL2,HLA-DOB,HSPD1,IL10,NCKAP1L,CD8A,RIPK2,TBX21,C1QC,SOCS5,TRAF3IP2,GNL1,CD226,KLRD1,FCGR3A,ARG1,FCER1G,SLC15A4,AICDA,FCGR2B,JAK3,CXCL13,CR1,C1S,CD1A,PRKCQ,NLRP3,RFTN1,IL1B,HAVCR2,FCGR1A,MSH2,WAS,MYD88,B2M,RNF8,DUSP22,IL21R,CD74,C2,IL18R1,EBI3,BTK,CARD9,KLRC1,MAP3K7,IL20RB,PVR,CLEC6A,IL12B,SEMA4A,SASH3,LY9,CD28,CD27,HLX,APLF,HLA-DQA2,HLA-F,MSH6,SLA2,NFKBID,ATAD5,ANXA1,CD4,HLA-DPA1,INPP5D,CR2,CLEC7A,BACH2,CD1D,C4BPA,CD1C,IL23A,TLR8,TNFRSF1B,CCR2,MYO1G,IL18BP,C17orf99,NFKB2,TNFSF13B,UNC13D,RELB,HLA-E,C1QB,MAD2L2,IL4I1,PLA2G4A,C1QA
GOBP_LEUKOCYTE_PROLIFERATION	0.4409264936263544	7.145207834249697	8.985982482555414e-13	1.320783604707998e-08	1.4675107836511055e-09	294	CD320,NCK1,LILRB4,CD209,CD86,CRP,GPR183,DOCK2,HHLA2,LGALS9,HLA-DPB1,BAX,CCDC88B,XCL1,BST1,CD6,MSN,CD300A,KIT,CCND3,CD274,HMGB1,CSF2RA,CRTAM,BLK,CD24,IFNE,NCK2,VTCN1,GSTP1,HLA-DRB1,CD40,FOXP3,MALT1,HLA-G,IL34,PTPRC,IL27RA,HLA-A,FCRL3,CD19,CLECL1,TNFAIP3,CD79A,BTN2A2,LILRB1,CD70,RPS6,RAC2,IL12RB1,SLC11A1,LYN,HPRT1,PSMB10,CCL19,IL2RA,PELI1,CEBPB,IL7R,SOS1,CSF2RB,TNFSF9,MS4A1,IL18,CBLB,IL12A,SCRIB,IFNB1,TLR9,SOX11,BTN3A1,ADA,ZAP70,SLAMF1,RPS3,PRNP,SPN,CD40LG,IL7,EPHB2,GLMN,IL6,HLA-DMB,PLA2G2D,CD80,ICOSLG,GAL,CD38,IL27,PNP,IL2,PTPN22,CCL5,HSPD1,MPL,IL10,NCKAP1L,RIPK2,VSIG4,LILRB2,IKZF3,FCGR3A,ARG1,IL13,CD3E,JAK3,FCGR2B,CR1,CCL8,SYK,CTLA4,CSF1R,PDCD1LG2,ELF4,PRKCQ,IL1B,CSF2,HAVCR2,FYN,CARD11,MYD88,MNDA,PLCL2,CD74,EBI3,BTK,LST1,IL20RB,RASAL3,VCAM1,IL12B,SASH3,CX3CL1,SLC7A1,CD28,CASP3,TNFRSF4,AIF1,IL21,ATAD5,ANXA1,IDO1,LMO1,CORO1A,HLA-DPA1,INPP5D,CR2,CD1D,IL23A,TYROBP,TNFRSF1B,IL15,TNFRSF21,TNFSF14,CCR2,ST6GAL1,TNFSF13B,EFNB1,GPNMB,HLA-E,CD180,TACR1,TMIGD2,NPR3,IL1A,ARG2,IL4I1,IRF1,TNFRSF13C
GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY	0.45628502372171764	7.044046979724127	1.867351377808108e-12	2.74469732497451e-08	2.7126176595515035e-09	262	HLA-DQB1,LILRB4,CRP,GZMB,LGALS9,HLA-DPB1,BTN3A2,XCL1,SERPINB4,CD1B,HMGB1,ULBP3,SERPING1,C1R,CRTAM,HLA-DRB5,C8G,HLA-H,EXOSC6,PRF1,HLA-DMA,HLA-DRB1,KLRC2,CD40,FOXP3,VAV1,MALT1,ARRB2,PLEKHM2,RAB27A,FCER2,HLA-G,PTPRC,IL27RA,HLA-A,CLNK,CD19,HLA-DRA,C1QBP,KLRC4,LILRB1,CD70,SH2D1A,IL12RB1,HPRT1,KLRK1,HLA-DQA1,HLA-DOA,IL7R,CEBPG,CR1L,EXO1,CSF2RB,KIR3DL1,CTSC,GZMM,IL18,FUT7,IL12A,LTA,THOC1,IFNB1,C1RL,FZD5,PRDX1,C3,PIK3R6,TNF,SLAMF1,SLAMF6,NCR1,ICAM1,BTN3A3,CD40LG,RNF19B,HLA-B,CEACAM1,IL6,HLA-DMB,CD1E,NKG7,IL2,HLA-DOB,HSPD1,IL10,NCKAP1L,CD8A,TBX21,C1QC,TRAF3IP2,GNL1,CD226,KLRD1,FCGR3A,ARG1,FCER1G,SLC15A4,RAET1G,SERPINB9,AICDA,KLRC3,FCGR2B,CR1,C1S,CD1A,NLRP3,RFTN1,LAG3,IL1B,HAVCR2,FCGR1A,MSH2,WAS,MYD88,B2M,RNF8,DUSP22,IL21R,CD74,C2,IL18R1,BTK,CARD9,KLRC1,MAP3K7,IL20RB,PVR,IL12B,SASH3,SH2D1B,CD28,CD27,APLF,ULBP2,HLA-DQA2,HLA-F,MSH6,SLA2,IL21,ATAD5,CD96,CORO1A,HLA-DPA1,INPP5D,TUBB,CR2,CD1D,C4BPA,CD1C,IL23A,TLR8,TNFRSF1B,SLAMF7,ULBP1,CCR2,MYO1G,NCR3,C17orf99,UNC13D,HLA-E,C1QB,MAD2L2,IL4I1,KIR2DL4,C1QA
